def,desc,class,moduleColor
K00133,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],asd,turquoise
K00134,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12],"GAPDH, gapA",turquoise
K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],gabD,turquoise
K00147,glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],proA,brown
K00148,glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],fdhA,blue
K00150,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],gap2,turquoise
K00154,coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],E1.2.1.68,blue
K00158,pyruvate oxidase [EC:1.2.3.3],"E1.2.3.3, poxL",blue
K00163,pyruvate dehydrogenase E1 component [EC:1.2.4.1],aceE,brown
K00164,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],"OGDH, sucA",yellow
K00167,2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4],"BCKDHB, bkdA2",brown
K00208,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],fabI,turquoise
K00215,4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],dapB,brown
K00218,protochlorophyllide reductase [EC:1.3.1.33],"E1.3.1.33, por",brown
K00222,delta14-sterol reductase [EC:1.3.1.70],"TM7SF2, ERG24",grey
K00228,coproporphyrinogen III oxidase [EC:1.3.3.3],"CPOX, hemF",turquoise
K00232,acyl-CoA oxidase [EC:1.3.3.6],"E1.3.3.6, ACOX1, ACOX3",blue
K00234,succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1],"SDHA, SDH1",turquoise
K00239,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]","sdhA, frdA",turquoise
K00241,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit","sdhC, frdC",turquoise
K00249,acyl-CoA dehydrogenase [EC:1.3.8.7],"ACADM, acd",blue
K00252,glutaryl-CoA dehydrogenase [EC:1.3.8.6],"GCDH, gcdH",turquoise
K00264,glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14],GLT1,turquoise
K00265,glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14],gltB,turquoise
K00266,glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14],gltD,turquoise
K00275,pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5],"pdxH, PNPO",turquoise
K00276,primary-amine oxidase [EC:1.4.3.21],"AOC3, AOC2, tynA",turquoise
K00281,glycine dehydrogenase [EC:1.4.4.2],"GLDC, gcvP",brown
K00284,glutamate synthase (ferredoxin) [EC:1.4.7.1],E1.4.7.1,blue
K00286,pyrroline-5-carboxylate reductase [EC:1.5.1.2],proC,turquoise
K00294,1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88],E1.2.1.88,turquoise
K00295,methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15],MTD1,turquoise
K00297,methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20],"metF, MTHFR",brown
K00301,sarcosine oxidase [EC:1.5.3.1],E1.5.3.1,turquoise
K00311,electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1],ETFDH,brown
K00314,sarcosine dehydrogenase [EC:1.5.8.3],SARDH,yellow
K00315,dimethylglycine dehydrogenase [EC:1.5.8.4],DMGDH,blue
K00318,proline dehydrogenase [EC:1.5.-.-],PRODH,blue
K00322,NAD(P) transhydrogenase [EC:1.6.1.1],"sthA, udhA",brown
K00323,NAD(P) transhydrogenase [EC:1.6.1.2],NNT,turquoise
K00324,NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2],pntA,brown
K00325,NAD(P) transhydrogenase subunit beta [EC:1.6.1.2],pntB,turquoise
K00326,cytochrome-b5 reductase [EC:1.6.2.2],E1.6.2.2,brown
K00327,NADPH-ferrihemoprotein reductase [EC:1.6.2.4],POR,turquoise
K00344,NADPH2:quinone reductase [EC:1.6.5.5],"qor, CRYZ",turquoise
K00360,assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.4],nasB,blue
K00362,nitrite reductase (NADH) large subunit [EC:1.7.1.15],nirB,turquoise
K00363,nitrite reductase (NADH) small subunit [EC:1.7.1.15],nirD,blue
K00364,GMP reductase [EC:1.7.1.7],"E1.7.1.7, guaC",turquoise
K00365,urate oxidase [EC:1.7.3.3],uaZ,blue
K00380,sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2],cysJ,brown
K00381,sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2],cysI,turquoise
K00382,dihydrolipoamide dehydrogenase [EC:1.8.1.4],"DLD, lpd, pdhD",turquoise
K00383,glutathione reductase (NADPH) [EC:1.8.1.7],"GSR, gor",brown
K00384,thioredoxin reductase (NADPH) [EC:1.8.1.9],trxB,turquoise
K00387,sulfite oxidase [EC:1.8.3.1],SUOX,brown
K00389,putative membrane protein,yidH,brown
K00390,phosphoadenosine phosphosulfate reductase [EC:1.8.4.8],cysH,turquoise
K00392,sulfite reductase (ferredoxin) [EC:1.8.7.1],sir,turquoise
K00411,ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2],"UQCRFS1, RIP1, petA",turquoise
K00413,ubiquinol-cytochrome c reductase cytochrome c1 subunit,"CYC1, CYT1, petC",yellow
K00417,ubiquinol-cytochrome c reductase subunit 7,"QCR7, UQCRB",blue
K00428,cytochrome c peroxidase [EC:1.11.1.5],E1.11.1.5,blue
K00430,peroxidase [EC:1.11.1.7],E1.11.1.7,turquoise
K00432,glutathione peroxidase [EC:1.11.1.9],E1.11.1.9,turquoise
K00434,L-ascorbate peroxidase [EC:1.11.1.11],E1.11.1.11,blue
K00435,peroxiredoxin [EC:1.11.1.-],E1.11.1.-,blue
K00451,"homogentisate 1,2-dioxygenase [EC:1.13.11.5]","HGD, hmgA",blue
K00459,nitronate monooxygenase [EC:1.13.12.16],"ncd2, npd",blue
K00464,"all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]",diox1,blue
K00469,inositol oxygenase [EC:1.13.99.1],MIOX,turquoise
K00471,gamma-butyrobetaine dioxygenase [EC:1.14.11.1],E1.14.11.1,turquoise
K00472,prolyl 4-hydroxylase [EC:1.14.11.2],E1.14.11.2,brown
K00476,aspartate beta-hydroxylase [EC:1.14.11.16],ASPH,turquoise
K00479,Rieske 2Fe-2S family protein,K00479,blue
K00480,salicylate hydroxylase [EC:1.14.13.1],E1.14.13.1,turquoise
K00485,dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8],FMO,yellow
K00486,kynurenine 3-monooxygenase [EC:1.14.13.9],KMO,blue
K00496,alkane 1-monooxygenase [EC:1.14.15.3],alkB1_2,turquoise
K00500,phenylalanine-4-hydroxylase [EC:1.14.16.1],"phhA, PAH",brown
K00502,tryptophan 5-monooxygenase [EC:1.14.16.4],TPH1_2,yellow
K00505,tyrosinase [EC:1.14.18.1],TYR,blue
K00507,stearoyl-CoA desaturase (delta-9 desaturase) [EC:1.14.19.1],"SCD, desC",blue
K00508,linoleoyl-CoA desaturase [EC:1.14.19.3],E1.14.19.3,blue
K00517,NA,NA,brown
K00522,ferritin heavy chain [EC:1.16.3.2],FTH1,turquoise
K00525,ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],"E1.17.4.1A, nrdA, nrdE",turquoise
K00528,ferredoxin--NADP+ reductase [EC:1.18.1.2],fpr,blue
K00540,NA,NA,turquoise
K00542,guanidinoacetate N-methyltransferase [EC:2.1.1.2],GAMT,blue
K00544,betaine-homocysteine S-methyltransferase [EC:2.1.1.5],BHMT,turquoise
K00548,5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13],"metH, MTR",turquoise
K00549,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],metE,turquoise
K00555,tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216],"TRMT1, trm1",yellow
K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],"DNMT1, dcm",yellow
K00559,sterol 24-C-methyltransferase [EC:2.1.1.41],"E2.1.1.41, SMT1, ERG6",turquoise
K00565,mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56],RNMT,blue
K00569,thiopurine S-methyltransferase [EC:2.1.1.67],"TPMT, tpmT",brown
K00573,protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77],"E2.1.1.77, pcm",yellow
K00574,cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],cfa,blue
K00586,diphthine synthase [EC:2.1.1.98],DPH5,blue
K00588,caffeoyl-CoA O-methyltransferase [EC:2.1.1.104],E2.1.1.104,turquoise
K00599,methyltransferase-like protein 6 [EC:2.1.1.-],METTL6,brown
K00600,glycine hydroxymethyltransferase [EC:2.1.2.1],"glyA, SHMT",turquoise
K00602,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],purH,turquoise
K00605,aminomethyltransferase [EC:2.1.2.10],"gcvT, AMT",brown
K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],panB,blue
K00612,carbamoyltransferase [EC:2.1.3.-],E2.1.3.-,yellow
K00613,glycine amidinotransferase [EC:2.1.4.1],GATM,blue
K00615,transketolase [EC:2.2.1.1],"E2.2.1.1, tktA, tktB",turquoise
K00625,phosphate acetyltransferase [EC:2.3.1.8],"E2.3.1.8, pta",blue
K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9],"E2.3.1.9, atoB",blue
K00627,pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],"DLAT, aceF, pdhC",turquoise
K00630,glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15],ATS1,turquoise
K00632,acetyl-CoA acyltransferase [EC:2.3.1.16],"fadA, fadI",turquoise
K00641,homoserine O-acetyltransferase [EC:2.3.1.31],metX,turquoise
K00643,5-aminolevulinate synthase [EC:2.3.1.37],"E2.3.1.37, ALAS",turquoise
K00645,[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39],fabD,turquoise
K00651,homoserine O-succinyltransferase [EC:2.3.1.46],metA,blue
K00653,chromodomain protein Y [EC:2.3.1.48],CDY,turquoise
K00654,serine palmitoyltransferase [EC:2.3.1.50],SPT,brown
K00660,chalcone synthase [EC:2.3.1.74],CHS,yellow
K00666,fatty-acyl-CoA synthase [EC:6.2.1.-],K00666,blue
K00667,"fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]",FAS2,brown
K00668,"fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]",FAS1,brown
K00670,peptide alpha-N-acetyltransferase [EC:2.3.1.88],E2.3.1.88,yellow
K00671,glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97],"E2.3.1.97, NMT",blue
K00677,UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129],lpxA,brown
K00688,starch phosphorylase [EC:2.4.1.1],"E2.4.1.1, glgP, PYG",turquoise
K00697,trehalose 6-phosphate synthase [EC:2.4.1.15],otsA,blue
K00698,chitin synthase [EC:2.4.1.16],CHS1,brown
K00700,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",glgB,turquoise
K00703,starch synthase [EC:2.4.1.21],"E2.4.1.21, glgA",turquoise
K00706,"1,3-beta-glucan synthase [EC:2.4.1.34]",E2.4.1.34,blue
K00710,polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41],GALNT,yellow
K00721,dolichol-phosphate mannosyltransferase [EC:2.4.1.83],DPM1,brown
K00726,"alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]",MGAT1,yellow
K00749,"alpha-1,3-glucan synthase [EC:2.4.1.183]",E2.4.1.183,blue
K00750,glycogenin glucosyltransferase [EC:2.4.1.186],"GYG1, GYG2",yellow
K00760,hypoxanthine phosphoribosyltransferase [EC:2.4.2.8],"hprT, hpt, HPRT1",turquoise
K00761,uracil phosphoribosyltransferase [EC:2.4.2.9],"upp, UPRT",blue
K00762,orotate phosphoribosyltransferase [EC:2.4.2.10],pyrE,blue
K00764,amidophosphoribosyltransferase [EC:2.4.2.14],"purF, PPAT",turquoise
K00765,ATP phosphoribosyltransferase [EC:2.4.2.17],hisG,brown
K00772,5'-methylthioadenosine phosphorylase [EC:2.4.2.28],"E2.4.2.28, mtaP",blue
K00789,S-adenosylmethionine synthetase [EC:2.5.1.6],metK,turquoise
K00793,riboflavin synthase [EC:2.5.1.9],"ribE, RIB5",turquoise
K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]","ribH, RIB4",yellow
K00797,spermidine synthase [EC:2.5.1.16],"speE, SRM",yellow
K00799,glutathione S-transferase [EC:2.5.1.18],"GST, gst",brown
K00801,farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21],FDFT1,turquoise
K00803,alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26],"AGPS, agpS",brown
K00810,NA,NA,blue
K00812,aspartate aminotransferase [EC:2.6.1.1],aspB,turquoise
K00813,aspartate aminotransferase [EC:2.6.1.1],aspC,grey
K00814,alanine transaminase [EC:2.6.1.2],"GPT, ALT",yellow
K00817,histidinol-phosphate aminotransferase [EC:2.6.1.9],hisC,blue
K00819,ornithine--oxo-acid transaminase [EC:2.6.1.13],"rocD, OAT",yellow
K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42],"E2.6.1.42, ilvE",turquoise
K00830,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51],AGXT,blue
K00831,phosphoserine aminotransferase [EC:2.6.1.52],"serC, PSAT1",turquoise
K00836,diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76],"E2.6.1.76, ectB",blue
K00837,NA,NA,yellow
K00847,fructokinase [EC:2.7.1.4],"E2.7.1.4, scrK",brown
K00850,6-phosphofructokinase 1 [EC:2.7.1.11],"pfkA, PFK",blue
K00852,ribokinase [EC:2.7.1.15],"rbsK, RBKS",yellow
K00855,phosphoribulokinase [EC:2.7.1.19],"PRK, prkB",turquoise
K00856,adenosine kinase [EC:2.7.1.20],"E2.7.1.20, ADK",yellow
K00857,thymidine kinase [EC:2.7.1.21],"tdk, TK",brown
K00860,adenylylsulfate kinase [EC:2.7.1.25],cysC,turquoise
K00861,riboflavin kinase [EC:2.7.1.26],"RFK, FMN1",grey
K00863,dihydroxyacetone kinase [EC:2.7.1.29],"E2.7.1.29, DAK1, DAK2",yellow
K00866,choline kinase [EC:2.7.1.32],CKI1,yellow
K00871,phosphorylase kinase gamma subunit [EC:2.7.11.19],PHKG,blue
K00872,homoserine kinase [EC:2.7.1.39],thrB1,turquoise
K00873,pyruvate kinase [EC:2.7.1.40],"PK, pyk",blue
K00874,2-dehydro-3-deoxygluconokinase [EC:2.7.1.45],kdgK,grey
K00876,uridine kinase [EC:2.7.1.48],"udk, UCK",blue
K00889,1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68],PIP5K,brown
K00894,ethanolamine kinase [EC:2.7.1.82],"ETNK, EKI",yellow
K00895,pyrophosphate--fructose-6-phosphate 1-phosphotransferase [EC:2.7.1.90],"E2.7.1.90, pfk",blue
K00898,pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2],PDK2_3_4,turquoise
K00901,diacylglycerol kinase (ATP) [EC:2.7.1.107],"dgkA, DGK",turquoise
K00902,dolichol kinase [EC:2.7.1.108],E2.7.1.108,turquoise
K00908,NA,NA,yellow
K00914,phosphatidylinositol 3-kinase [EC:2.7.1.137],"PIK3C3, VPS34",turquoise
K00921,1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150],"PIKFYVE, FAB1",blue
K00924,NA,NA,blue
K00927,phosphoglycerate kinase [EC:2.7.2.3],"PGK, pgk",turquoise
K00928,aspartate kinase [EC:2.7.2.4],lysC,turquoise
K00931,glutamate 5-kinase [EC:2.7.2.11],proB,turquoise
K00933,creatine kinase [EC:2.7.3.2],E2.7.3.2,blue
K00934,arginine kinase [EC:2.7.3.3],E2.7.3.3,turquoise
K00939,adenylate kinase [EC:2.7.4.3],"adk, AK",brown
K00940,nucleoside-diphosphate kinase [EC:2.7.4.6],"ndk, NME",blue
K00943,dTMP kinase [EC:2.7.4.9],"tmk, DTYMK",yellow
K00948,ribose-phosphate pyrophosphokinase [EC:2.7.6.1],"PRPS, prsA",yellow
K00958,sulfate adenylyltransferase [EC:2.7.7.4],"sat, met3",turquoise
K00963,UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],"UGP2, galU, galF",blue
K00967,ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14],PCYT2,blue
K00969,nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18],nadD,brown
K00972,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83],UAP1,yellow
K00981,phosphatidate cytidylyltransferase [EC:2.7.7.41],"E2.7.7.41, CDS1, CDS2, cdsA",blue
K00983,N-acylneuraminate cytidylyltransferase [EC:2.7.7.43],"E2.7.7.43, neuA, CMAS",brown
K00998,CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8],pssA,turquoise
K00999,CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11],CDIPT,yellow
K01006,"pyruvate, orthophosphate dikinase [EC:2.7.9.1]",ppdK,turquoise
K01007,"pyruvate, water dikinase [EC:2.7.9.2]","pps, ppsA",turquoise
K01022,keratan sulfate 6-sulfotransferase 1 [EC:2.8.2.21],CHST1,turquoise
K01029,3-oxoacid CoA-transferase subunit B [EC:2.8.3.5],"E2.8.3.5B, scoB",turquoise
K01046,triacylglycerol lipase [EC:3.1.1.3],E3.1.1.3,yellow
K01048,lysophospholipase [EC:3.1.1.5],pldB,turquoise
K01049,acetylcholinesterase [EC:3.1.1.7],ACHE,blue
K01052,lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13],LIPA,blue
K01053,gluconolactonase [EC:3.1.1.17],"E3.1.1.17, gnl, RGN",turquoise
K01056,"peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]","PTH1, pth, spoVC",brown
K01057,6-phosphogluconolactonase [EC:3.1.1.31],"PGLS, pgl, devB",brown
K01061,carboxymethylenebutenolidase [EC:3.1.1.45],E3.1.1.45,yellow
K01069,hydroxyacylglutathione hydrolase [EC:3.1.2.6],"E3.1.2.6, gloB",turquoise
K01070,S-formylglutathione hydrolase [EC:3.1.2.12],"frmB, ESD, fghA",yellow
K01071,medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21],MCH,turquoise
K01074,palmitoyl-protein thioesterase [EC:3.1.2.22],PPT,blue
K01077,alkaline phosphatase [EC:3.1.3.1],"E3.1.3.1, phoA, phoB",turquoise
K01078,acid phosphatase [EC:3.1.3.2],E3.1.3.2,blue
K01079,phosphoserine phosphatase [EC:3.1.3.3],"serB, PSPH",brown
K01081,5'-nucleotidase [EC:3.1.3.5],E3.1.3.5,blue
K01082,"3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]","E3.1.3.7, cysQ, MET22, BPNT1",brown
K01087||K00697,NA,NA,blue
K01090,protein phosphatase [EC:3.1.3.16],E3.1.3.16,brown
K01091,phosphoglycolate phosphatase [EC:3.1.3.18],gph,turquoise
K01092,myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25],"E3.1.3.25, IMPA, suhB",brown
K01093,4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2],appA,brown
K01099,phosphatidylinositol-bisphosphatase [EC:3.1.3.36],E3.1.3.36,yellow
K01100,sedoheptulose-bisphosphatase [EC:3.1.3.37],E3.1.3.37,turquoise
K01101,4-nitrophenyl phosphatase [EC:3.1.3.41],E3.1.3.41,brown
K01103,"6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3&#160; [EC:2.7.1.105 3.1.3.46]",PFKFB3,brown
K01104,protein-tyrosine phosphatase [EC:3.1.3.48],E3.1.3.48,turquoise
K01113,alkaline phosphatase D [EC:3.1.3.1],phoD,brown
K01114,phospholipase C [EC:3.1.4.3],plcC,blue
K01118,FMN-dependent NADH-azoreductase [EC:1.7.-.-],"acpD, azoR",brown
K01120,"3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]",cpdP,brown
K01126,glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46],"E3.1.4.46, glpQ, ugpQ",yellow
K01128,sphingomyelin phosphodiesterase acid-like 3 [EC:3.1.4.-],SMPDL3,yellow
K01133,choline-sulfatase [EC:3.1.6.6],betC,blue
K01134,arylsulfatase A [EC:3.1.6.8],ARSA,turquoise
K01135,arylsulfatase B [EC:3.1.6.12],ARSB,blue
K01137,N-acetylglucosamine-6-sulfatase [EC:3.1.6.14],GNS,brown
K01138,uncharacterized sulfatase [EC:3.1.6.-],K01138,blue
K01142,exodeoxyribonuclease III [EC:3.1.11.2],"E3.1.11.2, xthA",brown
K01163,uncharacterized protein,K01163,blue
K01173,"endonuclease G, mitochondrial",ENDOG,turquoise
K01176,alpha-amylase [EC:3.2.1.1],"E3.2.1.1, amyA, malS",blue
K01178,glucoamylase [EC:3.2.1.3],E3.2.1.3,turquoise
K01179,endoglucanase [EC:3.2.1.4],E3.2.1.4,blue
K01179||K01183,NA,NA,blue
K01181,"endo-1,4-beta-xylanase [EC:3.2.1.8]","E3.2.1.8, xynA",blue
K01183,chitinase [EC:3.2.1.14],E3.2.1.14,blue
K01186,sialidase-1 [EC:3.2.1.18],NEU1,turquoise
K01188,beta-glucosidase [EC:3.2.1.21],E3.2.1.21,blue
K01189,alpha-galactosidase [EC:3.2.1.22],GLA,yellow
K01190,beta-galactosidase [EC:3.2.1.23],lacZ,brown
K01191,alpha-mannosidase [EC:3.2.1.24],E3.2.1.24,blue
K01193,beta-fructofuranosidase [EC:3.2.1.26],"E3.2.1.26, sacA",blue
K01196,glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33],AGL,turquoise
K01199,"glucan endo-1,3-beta-D-glucosidase [EC:3.2.1.39]",E3.2.1.39,turquoise
K01201,glucosylceramidase [EC:3.2.1.45],"GBA, srfJ",turquoise
K01202,galactosylceramidase [EC:3.2.1.46],GALC,turquoise
K01204,alpha-N-acetylgalactosaminidase [EC:3.2.1.49],NAGA,blue
K01206,alpha-L-fucosidase [EC:3.2.1.51],FUCA,blue
K01210,"glucan 1,3-beta-glucosidase [EC:3.2.1.58]",E3.2.1.58,brown
K01220,6-phospho-beta-galactosidase [EC:3.2.1.85],"E3.2.1.85, lacG",blue
K01227,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96],E3.2.1.96,brown
K01230,"mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]",MAN1,turquoise
K01235,alpha-glucuronidase [EC:3.2.1.139],aguA,turquoise
K01238,NA,NA,turquoise
K01251,adenosylhomocysteinase [EC:3.3.1.1],"E3.3.1.1, ahcY",turquoise
K01256,aminopeptidase N [EC:3.4.11.2],pepN,brown
K01259,proline iminopeptidase [EC:3.4.11.5],pip,turquoise
K01265,methionyl aminopeptidase [EC:3.4.11.18],map,blue
K01267,aspartyl aminopeptidase [EC:3.4.11.21],DNPEP,turquoise
K01271,Xaa-Pro dipeptidase [EC:3.4.13.9],pepQ,blue
K01275,cathepsin C [EC:3.4.14.1],CTSC,turquoise
K01276,dipeptidyl-peptidase II [EC:3.4.14.2],DPP7,turquoise
K01277,dipeptidyl-peptidase III [EC:3.4.14.4],DPP3,blue
K01279,tripeptidyl-peptidase I [EC:3.4.14.9],"TPP1, CLN2",blue
