,St.1_50m,St.1_90m,St.3_40m,St.3_60m,St.3_80m,St.5_20m,St.5_50m,St. 5_80m,St.6_40m,St.6_80m,St.8_40m,St.8_70m,St.9_40m,St.9_70m,St.12_40m
K00208_enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],20.13898651,12.77374297,7.33938098,14.32003423,6.776751571,6.481506549,13.94121341,6.29126406,22.78343558,22.52718287,16.55902842,19.88912455,27.44228307,32.08052131,9.154658573
K00215_4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],22.01198752,0,1.206299892,6.96847567,6.829511622,7.768428301,5.110422666,7.228176998,1.329699048,3.83451947,9.424192907,6.269802858,9.151598966,24.62309037,2.79361509
K00218_protochlorophyllide reductase [EC:1.3.1.33],0,0,0.771765345,0,1.048725456,2.780475269,10.49341718,14.99165862,0,0.848145956,5.065328822,0.549576803,2.904688751,15.70480017,1.657082243
K00222_delta14-sterol reductase [EC:1.3.1.70],26.05852671,6.665459863,26.0880272,0,0,4.312627072,6.399797854,8.010874401,26.4569541,8.41812509,1.556578127,8.851831845,12.17339733,2.650563749,24.60026367
K00228_coproporphyrinogen III oxidase [EC:1.3.3.3],1.081808662,0,2.497428978,4.224398131,1.811207611,0.77424605,5.454565146,3.238300875,4.042021811,0,1.639137992,3.20519317,0.783296579,0,0.539333371
K00232_acyl-CoA oxidase [EC:1.3.3.6],14.27477013,2.870987331,0,0,2.655488311,0,0,1.388051706,0.558543309,2.147598934,0,0.695794485,0,0.510847407,2.097957335
K00234_succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1],80.73883967,84.73152307,93.55727246,78.34097018,43.35509889,79.78151081,46.30311457,48.78736225,57.81117324,39.43406671,68.65239097,30.49864807,55.06817292,72.32780232,125.2524879
"K00239_succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",41.32518909,22.85102279,39.77272328,22.59601426,38.06100027,81.89175159,32.42869046,20.57475587,40.06767561,16.08288872,33.62337975,29.82903532,23.48772329,23.09119424,19.24621933
"K00241_succinate dehydrogenase / fumarate reductase, cytochrome b subunit",11.21692931,10.88565855,5.289827038,40.3134653,5.897031312,25.73762627,32.76035319,21.74643302,9.955589656,6.042700883,13.88749237,16.59257074,10.1648174,4.102666856,13.1473744
K00249_acyl-CoA dehydrogenase [EC:1.3.8.7],96.13178585,113.0835827,79.875906,73.61919511,61.78982548,16.65106505,28.08619181,37.08300758,38.67842653,40.83965717,19.44882041,31.7337401,40.33774111,43.66550296,91.87784865
K00252_glutaryl-CoA dehydrogenase [EC:1.3.8.6],7.68931017,21.83532886,14.51160729,14.92390044,24.12424714,12.23996514,9.698619469,9.715210823,14.3455476,9.192905838,6.527268811,12.08618627,7.364523814,12.57100774,25.35483882
K00264_glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14],32.34458449,27.48356614,72.65381125,64.09611654,54.8601839,73.55299423,84.83288853,74.9985623,66.02624626,71.11320134,62.84241683,72.85711838,48.50231791,44.78825312,80.4125293
K00265_glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14],17.45456669,32.17915072,31.34059911,18.10463583,9.741046063,2.082027037,8.054446445,3.394498242,2.731849647,11.81695664,4.407810177,3.403148667,0,3.664347747,2.565290779
K00266_glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14],1.121925176,0.620512671,7.3384486,3.491128787,1.878372294,0.802957275,1.941430231,2.29097162,0.263392179,0.759557163,0.283320308,0.328115694,1.624686848,0,1.978666806
K00275_pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5],12.76727896,0.641937022,0,3.095714127,0,1.661361728,4.016923419,0,7.084643331,1.04770971,1.172409868,0,4.201955434,0.730995203,3.07047592
K00276_primary-amine oxidase [EC:1.4.3.21],23.2231335,17.12562051,16.38150109,17.2057459,36.72104358,5.540233993,17.41409103,6.774521013,8.178074424,10.48156495,1.954849716,2.263928325,29.42623119,9.750759037,0
K00281_glycine dehydrogenase [EC:1.4.4.2],74.73006109,43.19808513,73.55443885,55.73766214,55.32251452,83.97125034,69.48607603,58.478828,71.10141189,53.22525126,52.63201002,57.89585341,47.3374815,82.54670119,73.08118558
K00284_glutamate synthase (ferredoxin) [EC:1.4.7.1],2.760272663,1.68172446,0,1.22703209,0,0,0,0,0,0.686188437,0,0,0,7.80926569,0
K00286_pyrroline-5-carboxylate reductase [EC:1.5.1.2],2.415662185,4.663070446,2.788360341,10.65431353,10.12422296,2.542436147,0.409815279,1.063938197,1.690233453,11.07402645,2.45208266,4.169565792,10.66612903,1.133591512,1.085984699
K00294_1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88],5.988433186,5.174691561,12.48024459,21.46792803,2.925126441,2.14294861,20.37918473,17.39886069,0.9957209,2.365666006,0,2.262327205,7.677404555,1.335603384,21.89315183
K00295_methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15],8.809278221,16.17649162,8.61314351,9.034087071,7.950091406,1.37334553,12.65826904,4.47815413,3.235283444,8.161709201,5.932296787,2.244783053,4.168197653,2.417075047,1.692115694
K00297_methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20],145.2829717,111.7363373,120.3250878,77.01264204,82.62490797,207.4901191,214.1899366,138.0289006,177.3869952,183.8112886,156.1750608,116.6185176,154.2040989,115.8396874,209.3039056
K00301_sarcosine oxidase [EC:1.5.3.1],0,8.046771598,15.50192043,39.30271832,3.442466199,4.628945998,2.72032391,13.72714442,10.16150386,6.836809636,18.31798955,2.138931399,1.620680222,0,9.868936167
K00311_electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1],0.969180425,2.819147174,4.295308091,5.364165905,5.502296169,4.281728941,6.15356783,5.849956099,2.848380744,9.3075961,4.937257599,1.798654726,4.912227239,0.610398557,0.427320194
K00314_sarcosine dehydrogenase [EC:1.5.8.3],0,2.696480311,2.501155371,2.889702713,0,0.581550972,1.687323606,2.37037478,5.341414172,1.100235891,4.103959341,3.802264581,7.091781176,6.370841676,0.71653601
K00315_dimethylglycine dehydrogenase [EC:1.5.8.4],1.183360453,4.620092921,4.553113673,3.682298812,2.64163961,0,0.819096249,1.380812844,0,0.534099735,1.79300753,0,0,5.327080446,0
K00318_proline dehydrogenase [EC:1.5.-.-],0,0,0,0,0,1.207420884,0,0,1.188202263,0.761439585,0,0,7.329209999,0,1.487677924
K00322_NAD(P) transhydrogenase [EC:1.6.1.1],3.93129385,0.271789254,0.378152484,2.260760499,6.964954859,10.28283357,3.74158909,3.840866163,9.155936853,8.160548189,2.816780754,6.953013145,5.585659674,2.47596426,1.733342118
K00323_NAD(P) transhydrogenase [EC:1.6.1.2],114.9943736,74.26973615,90.63687229,81.32578552,65.23017703,111.9884846,64.06750574,64.54291049,61.91301994,62.82406098,57.27979984,48.4691476,42.34436668,38.53861141,80.97351066
K00324_NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2],65.97584458,17.12164734,42.24846553,29.54224819,46.73640472,58.96508064,32.66419799,44.76500232,59.226344,53.76740034,49.73140669,43.97474513,60.70056161,21.27761336,47.89643981
K00325_NAD(P) transhydrogenase subunit beta [EC:1.6.1.2],51.85949734,23.2416579,16.59984477,9.393612706,11.94845817,18.24041957,12.22344562,18.37486927,16.99072006,22.78415409,9.614118984,12.65356932,19.68982316,43.89702049,24.84079954
K00326_cytochrome-b5 reductase [EC:1.6.2.2],0,0,0,0,0,0,0,0,0,0,0,0.760044656,0,0,0
K00327_NADPH-ferrihemoprotein reductase [EC:1.6.2.4],37.90611559,23.23910985,29.25648702,22.66789014,26.59070552,34.58204659,40.14189573,38.89925644,25.02040251,25.5925356,31.72814583,38.61666339,41.36097924,74.99835707,29.64961375
K00344_NADPH2:quinone reductase [EC:1.6.5.5],11.39549036,16.00152579,9.575610061,5.356509093,22.31501491,8.135201939,13.9540565,9.434301059,5.33041626,7.345668255,5.058365043,7.048083081,11.78424533,30.00075813,18.24905743
K00360_assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.4],8.696555245,9.065980783,2.338237401,31.6955714,13.91035353,3.412000672,1.848368937,7.485900614,8.427630785,10.04791998,3.280988169,3.429449087,8.496948104,3.827419153,20.78884995
K00362_nitrite reductase (NADH) large subunit [EC:1.7.1.15],59.47089208,43.38819747,32.43358023,64.65830973,56.44025746,106.2643521,98.98307563,84.13585268,80.32291637,36.10163347,64.90380215,66.26779033,55.51762909,26.05023162,67.99428637
K00363_nitrite reductase (NADH) small subunit [EC:1.7.1.15],11.34546835,3.764960634,0,2.017373706,0,0,1.570617057,0,0,0,0,0,4.928893724,4.287286864,6.002780424
K00364_GMP reductase [EC:1.7.1.7],61.08520448,70.43979093,98.69260345,87.44790465,47.49578413,52.36122154,33.65451046,47.28764215,76.13229689,68.13786032,35.71285489,63.34282048,40.35234179,56.6847243,109.2354307
K00365_urate oxidase [EC:1.7.3.3],1.957254108,0.967856204,0,0,2.60428995,0.834951717,0,0.46127328,0,0,0,0,0.994817456,4.775897964,0
K00380_sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2],75.42101727,72.32884646,66.00996414,68.97050715,100.5739606,98.45385458,117.0786326,72.9134129,86.63436342,86.635084,90.83446527,70.99996635,88.7393796,52.3021965,125.7314606
K00381_sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2],42.5424473,7.066979468,22.85974882,22.76888063,70.93640047,68.50647459,96.60905753,52.92113633,67.27027016,43.38593876,61.34153463,23.96302474,71.27080829,25.75523579,10.62348123
K00382_dihydrolipoamide dehydrogenase [EC:1.8.1.4],26.39661539,0.561515382,9.375136072,1.805256113,9.065492533,0,4.919158567,0,0.476698596,0,0.51276539,0.593838023,0,0,0.895269265
K00383_glutathione reductase (NADPH) [EC:1.8.1.7],15.27098365,9.281714858,1.960953427,7.589032857,16.47807119,30.9426669,29.36657719,13.20572682,11.80277685,15.83192436,14.14422175,12.1886884,17.42494374,20.83491709,4.535712929
K00384_thioredoxin reductase (NADPH) [EC:1.8.1.9],3.645130392,0,0.935003531,4.321014632,6.7809156,8.696016542,1.682053073,0,0,1.645198782,3.068355143,0.710697714,0.879766841,0,2.142893502
K00387_sulfite oxidase [EC:1.8.3.1],11.88273509,22.34429946,31.75534106,32.88978844,36.86936864,40.28286504,51.93592927,50.46073311,35.27582567,55.49458354,43.71465895,34.12849579,31.26834708,39.00847748,114.9054807
K00389_putative membrane protein,0,0,0,0,0,0,0,1.452789371,3.507560041,10.11492584,0,1.456491611,0,4.704841552,0
K00390_phosphoadenosine phosphosulfate reductase [EC:1.8.4.8],12.6249544,26.27862777,13.57072231,20.22133919,18.41663536,26.1720546,26.06113512,16.65326341,22.85374592,18.12462573,15.07278106,13.59822562,16.52079084,1.647372474,13.36426164
K00392_sulfite reductase (ferredoxin) [EC:1.8.7.1],2.827531052,2.814923839,2.175849338,3.770791975,0.631195508,0.809460979,0.782862084,3.959190473,1.858679012,5.359965377,2.570536028,5.623146583,2.047307881,0,0
K00411_ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2],0.628122815,2.431808484,11.36271938,2.512991468,0,8.497121492,8.652678895,13.04850389,12.24181153,5.869773232,14.02609901,12.71435751,20.06325023,0,1.661669321
K00413_ubiquinol-cytochrome c reductase cytochrome c1 subunit,3.159747494,0.436897086,0,3.511529515,0,1.696063801,4.920993389,1.382615472,0.370903869,2.139187972,0,1.386138883,1.143926597,2.985056128,0
K00417_ubiquinol-cytochrome c reductase subunit 7,1.84104963,3.054734795,2.833458975,0.818407183,2.054906269,0,1.274334326,13.4369225,0.864439239,7.256250932,2.789526927,0,0,10.07380171,0
K00428_cytochrome c peroxidase [EC:1.11.1.5],2.003614719,3.878546643,0,0.890672718,2.236354946,1.433978887,2.080287492,0.584483141,0.470384708,0.904314562,0.505973795,0.585972618,0.725370673,0,3.533645577
K00430_peroxidase [EC:1.11.1.7],2.578515533,15.68733598,3.968452485,5.731175302,5.756072674,1.845433056,8.923960549,4.513139709,3.632118281,13.96549421,3.906922657,12.06570891,7.468020794,0,4.547560927
K00432_glutathione peroxidase [EC:1.11.1.9],1.831760782,1.01310747,1.409581508,4.478528914,2.044538427,1.966475587,3.169761971,2.671754419,7.740700111,7.85412254,5.550905248,3.749988239,4.642079525,4.614637728,3.230557914
K00434_L-ascorbate peroxidase [EC:1.11.1.11],0,1.208956197,2.569555674,0,0,0,0.714729036,1.94815885,1.083020445,0.466046071,0.582480633,0,1.670103761,22.25493234,2.731640693
K00435_peroxiredoxin [EC:1.11.1.-],26.41885927,22.33620923,47.5067708,45.20803182,1.35982388,27.33368928,8.749445811,25.06339797,9.283037249,10.42028029,3.938300686,14.66161449,11.94167851,20.53332408,25.42341379
"K00451_homogentisate 1,2-dioxygenase [EC:1.13.11.5]",1.367953983,0.75658591,4.737022409,0,1.526855751,0.979039089,0,0.39905179,0,0.926121696,1.381800327,3.200549764,0.495241771,0.430774867,1.206285943
K00459_nitronate monooxygenase [EC:1.13.12.16],1.842918716,1.244624335,4.833909995,1.22885708,12.34195481,3.487319079,0,3.421891173,3.327816847,1.415537831,0.44744974,0.777293107,2.565879277,3.180701014,3.468964222
"K00464_all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]",5.855725598,20.24172384,5.632642237,4.555359982,0,0,0,4.270497789,0.687368621,0.660733059,0,2.568828349,0,0.921997175,3.872761564
K00469_inositol oxygenase [EC:1.13.99.1],40.27374701,42.80618416,40.86383119,19.77810533,7.937969475,33.26631105,15.96653222,9.043550745,11.21800774,21.437939,24.95163966,20.25400964,16.26250813,9.991351478,30.7870018
K00471_gamma-butyrobetaine dioxygenase [EC:1.14.11.1],9.253737988,2.559021672,3.560480734,5.827587597,8.856229272,10.21239508,7.263422669,10.35932079,22.47664764,11.89774688,6.142023207,4.108418215,5.203031943,7.830213507,14.96020043
K00472_prolyl 4-hydroxylase [EC:1.14.11.2],14.05886243,4.83441343,29.74731299,5.263061069,6.111409839,14.12492879,15.46216153,28.1796002,29.04681623,47.18480695,27.67093725,37.14340041,50.39473411,3.66037675,8.219205038
K00476_aspartate beta-hydroxylase [EC:1.14.11.16],3.527088605,0.650252268,4.071262135,2.613178376,6.561326364,1.262161468,6.510329769,7.888251097,3.312190764,2.918522969,3.859688704,5.501463131,2.128192454,0,5.183748207
K00479_Rieske 2Fe-2S family protein,4.747057885,2.100396449,0,0,0,0,0,0,0,0,0,0,0,5.381531629,0.837207869
K00480_salicylate hydroxylase [EC:1.14.13.1],28.49592068,6.865286295,10.92876815,19.44386721,4.652439911,6.468203485,10.61522722,5.44491903,13.10285594,4.079063267,6.669782954,8.015653875,3.559010199,0.813141179,9.108059438
K00485_dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8],19.88741242,22.05426616,10.6061901,4.842168299,5.987466863,7.758949554,9.318308686,4.399344349,9.704609447,3.674826772,6.909333409,7.822567016,6.824059565,48.97961184,3.4713103
K00486_kynurenine 3-monooxygenase [EC:1.14.13.9],1.108226456,6.129362042,6.822443344,2.463215759,0,7.138378414,3.06836055,0.646571094,3.122113883,5.502075047,0.559721927,2.592875175,1.604849401,0.697970999,0
K00496_alkane 1-monooxygenase [EC:1.14.15.3],152.4062494,75.13442578,170.4085894,111.4248499,51.7428143,24.22670073,30.3706633,45.70580204,31.49877761,31.37174036,58.66684161,55.76548959,25.93140963,32.69073012,207.7078243
K00500_phenylalanine-4-hydroxylase [EC:1.14.16.1],1.668451227,0,0.798225871,1.483363019,7.449035225,2.388207484,2.309730966,15.57475664,0,2.259124063,3.370678371,1.094684254,0,24.17213165,0
K00502_tryptophan 5-monooxygenase [EC:1.14.16.4],2.143181742,0.59267385,4.94768102,1.905429711,0,0,0,3.751181057,0,2.418267395,1.082437446,1.88037022,0,5.399180624,5.669686351
K00505_tyrosinase [EC:1.14.18.1],7.997604501,8.931697521,13.92873388,7.854339966,3.452399434,8.884338706,4.460924185,0,0.730992358,0.69337994,1.709537032,5.308534742,2.682717842,62.98155907,9.573652953
