X,orf_length_aa,PFams,PFams_desc,st1_200m,st1_400m,st1_50m,st1_90m,st1_120m,st1_300m,st3_40m,st3_60m,st3_120m,st3_150m,st3_200m,st3_250m,st3_300m,st3_400m,st3_500m,st3_550m,st3_600m,st3_800m,st5_20m,st5_80m,st5_120m,st5_200m,st5_50m,st5_300m,st5_400m,st5_500m,st5_600m,st6_40m,st6_80m,st6_200m,st8_40m,st8_70m,st8_200m,st9_40m,st9_70m,st9_380m,st12_40m,st12_120m,st12_300m,st12_1900m
contig_1513717_956_1882_-,309,PF00090,Thrombospondin type 1 domain,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0
contig_1604875_1_793_+,264.3333333,PF00090,Thrombospondin type 1 domain,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1789669_1134_3004_+,623.6666667,PF00090,Thrombospondin type 1 domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
contig_660950_1_744_+,248,PF00090,Thrombospondin type 1 domain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
contig_883502_1_938_-,312.6666667,PF00090,Thrombospondin type 1 domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
contig_1327419_1_989_-,329.6666667,PF00090,Thrombospondin type 1 domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
contig_1796019_1_1028_+,342.6666667,PF00090_PF00092,Thrombospondin type 1 domain||von Willebrand factor type A domain,0,0,1,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0
contig_1631047_1_1655_+,551.6666667,PF00090_PF00092_PF00051,Thrombospondin type 1 domain||von Willebrand factor type A domain||Kringle domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
contig_1771612_1_785_+,261.6666667,PF00107,Zinc-binding dehydrogenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
contig_1503446_983_1994_-,337.3333333,PF00122,E1-E2 ATPase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_2066003_168_605_-,146,PF00125,Core histone H2A/H2B/H3/H4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
contig_585479_336_855_-,173.3333333,PF00127,"Copper binding proteins, plastocyanin/azurin family",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,0,0,0,0,0
contig_1780549_75_848_-,258,PF00153,Mitochondrial carrier protein,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
contig_687808_118_815_-,232.6666667,PF00153,Mitochondrial carrier protein,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,3,0,1,2,1,0,0,0,1,2,0,0
contig_902163_56_754_-,233,PF00153,Mitochondrial carrier protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
contig_455056_1_841_+,280.3333333,PF00153,Mitochondrial carrier protein,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,4,4,0,2,1,0,0,3,2,3,1,0,0
contig_1359122_1_996_-,332,PF00162,Phosphoglycerate kinase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
contig_1538090_1_649_+,216.3333333,PF00171,Aldehyde dehydrogenase family,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1498934_977_1639_-,221,PF00173,Cytochrome b5-like Heme/Steroid binding domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
contig_1166183_1_729_-,243,PF00183,Hsp90 protein,0,0,3,4,4,0,3,2,2,2,2,2,1,3,0,3,3,3,3,2,3,2,4,4,2,4,2,1,2,1,2,2,2,0,1,2,3,2,1,2
contig_1984440_1_997_-,332.3333333,PF00183,Hsp90 protein,1,0,3,5,4,0,3,3,1,0,0,1,1,1,0,3,3,2,3,1,1,1,3,1,4,2,3,3,4,6,3,4,2,0,4,4,5,3,1,2
contig_1980552_1_383_+,127.6666667,PF00230,Major intrinsic protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
contig_1149931_1_1016_-,338.6666667,PF00244,14-3-3 protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
contig_1243483_1_509_-,169.6666667,PF00270,DEAD/DEAH box helicase,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
contig_1606647_1_642_-,214,PF00270,DEAD/DEAH box helicase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0
contig_1621844_1_703_-,234.3333333,PF00270,DEAD/DEAH box helicase,0,0,2,5,2,0,8,6,10,5,4,1,1,1,0,0,0,0,1,8,7,4,3,6,0,1,0,3,4,0,4,4,0,0,8,0,6,6,3,0
contig_1635952_17_934_-,306,PF00270,DEAD/DEAH box helicase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
contig_397011_1_781_-,260.3333333,PF00270,DEAD/DEAH box helicase,0,0,1,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,3,0,3,0,2,0,2,0
contig_1788334_1_1077_+,359,PF00274,Fructose-bisphosphate aldolase class-I,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
contig_1962465_73_492_-,140,PF00306,"ATP synthase alpha/beta chain, C terminal domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
contig_1122707_1_876_-,292,PF00464,Serine hydroxymethyltransferase,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0
contig_1415468_421_904_+,161.3333333,PF00504,Chlorophyll A-B binding protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
contig_1532560_1_780_+,260,PF00504,Chlorophyll A-B binding protein,0,0,0,0,0,0,0,0,13,3,4,1,0,0,0,0,0,0,1,3,3,0,3,1,0,0,0,1,2,1,0,0,0,0,5,0,1,6,0,0
contig_1577736_1_1002_-,334,PF00504,Chlorophyll A-B binding protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
contig_1750271_1_930_-,310,PF00504,Chlorophyll A-B binding protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
contig_440413_1_760_-,253.3333333,PF00504,Chlorophyll A-B binding protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0
contig_684155_161_763_+,201,PF00504,Chlorophyll A-B binding protein,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
contig_692812_1_502_-,167.3333333,PF00504,Chlorophyll A-B binding protein,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
contig_2113486_1_891_+,297,PF00504,Chlorophyll A-B binding protein,1,0,1,6,7,0,1,3,15,2,0,0,0,0,0,0,0,0,5,14,16,0,19,0,2,0,0,11,19,17,3,21,12,7,22,23,5,7,3,4
contig_1301604_1_879_-,293,PF00637,Region in Clathrin and VPS,0,0,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,0,3,1,1,0,0,2,0,1,1,3,0,2,4,1,3,2,0,0
contig_663035_8_937_-,310,PF00670,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,2,0,0,0
contig_94261_1_553_+,184.3333333,PF00675,Insulinase (Peptidase family M16),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
contig_1868000_114_567_-,151.3333333,PF00737,Photosystem II 10 kDa phosphoprotein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
contig_1126347_209_1117_+,303,PF00810,ER lumen protein retaining receptor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
contig_1250324_1_632_-,210.6666667,PF01036,Bacteriorhodopsin-like protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
contig_1660976_491_1371_+,293.6666667,PF01036,Bacteriorhodopsin-like protein,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
contig_1863492_1_854_+,284.6666667,PF01036,Bacteriorhodopsin-like protein,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_483805_269_848_+,193.3333333,PF01036,Bacteriorhodopsin-like protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
contig_1564430_1_756_+,252,PF01079,Hint module,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
contig_345105_1_943_+,314.3333333,PF01215,Cytochrome c oxidase subunit Vb,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0
contig_1980501_1_460_+,153.3333333,PF01346,Domain amino terminal to FKBP-type peptidyl-prolyl isomerase||FKBP-type peptidyl-prolyl cis-trans isomerase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
contig_1522762_116_1021_+,302,PF01798,Putative snoRNA binding domain||Prp31 C terminal domain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
contig_1622061_227_1827_+,533.6666667,PF01822,WSC domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0
contig_1810666_1_1335_-,445,PF01822,WSC domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
contig_2062819_1_805_+,268.3333333,PF01822,WSC domain,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
contig_684524_1_951_-,317,PF01822,WSC domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
contig_868501_82_1011_-,310,PF01822,WSC domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,2,1,0,0,2,0,0,0,0,0
contig_1445839_925_1920_-,332,PF01833,IPT/TIG domain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0
contig_2112990_1_569_+,189.6666667,PF01849_PF00627,NAC domain||UBA/TS-N domain,0,0,1,1,2,0,2,2,2,2,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1
contig_2128609_1_551_-,183.6666667,PF01918,Alba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0
contig_1627266_1_909_+,303,PF02429,Peridinin-chlorophyll A binding protein,0,0,1,1,2,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,2,1,1,1,1,0,2,1,1,2,0,0
contig_1633772_101_572_+,157.3333333,PF02429,Peridinin-chlorophyll A binding protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
contig_2109600_1_673_-,224.3333333,PF02429,Peridinin-chlorophyll A binding protein,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_2131548_1_758_+,252.6666667,PF02429,Peridinin-chlorophyll A binding protein,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,1,0,0,0,0,0
contig_657315_1_962_-,320.6666667,PF02429,Peridinin-chlorophyll A binding protein,0,0,0,0,0,0,0,0,2,12,10,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
contig_707449_1_1060_-,353.3333333,PF02429,Peridinin-chlorophyll A binding protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contig_1227960_1_1045_+,348.3333333,PF02436,Conserved carboxylase domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
contig_1863839_1_960_+,320,PF02492,"CobW/HypB/UreG, nucleotide-binding domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
contig_1749374_1_683_+,227.6666667,PF02772,"S-adenosylmethionine synthetase, central domain",0,0,3,3,2,0,3,3,2,2,2,1,2,1,0,0,1,0,2,2,1,1,2,2,2,2,2,4,2,2,2,3,2,0,2,0,3,2,1,0
contig_2096115_1_742_+,247.3333333,PF02772,"S-adenosylmethionine synthetase, central domain||S-adenosylmethionine synthetase, C-terminal domain",0,0,3,3,2,0,0,1,1,0,1,1,1,0,0,1,0,0,2,1,0,1,1,0,2,3,1,2,2,2,1,2,2,0,1,0,2,1,1,0
contig_1400299_50_712_+,221,PF02788,"Ribulose bisphosphate carboxylase large chain, N-terminal domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
contig_2093866_1_406_-,135.3333333,PF02874,"ATP synthase alpha/beta family, beta-barrel domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
contig_1534346_86_1207_-,374,PF03030,Inorganic H+ pyrophosphatase,0,0,1,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,2,2,2,1,2,1,0,1,1,0,0,1,1,1,2,0,1,0,0,1,0,0
contig_1704454_1_971_-,323.6666667,PF03713,Domain of unknown function (DUF305),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1787827_400_1029_+,210,PF04488,Glycosyltransferase sugar-binding region containing DXD motif   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_739990_1_1026_+,342,PF04576,"Protein of unknown function, DUF593",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1627419_1_968_-,322.6666667,PF07692,Low iron-inducible periplasmic protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
contig_1789263_1_942_+,314,PF10274,Parkin co-regulated protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
contig_1331035_1_1008_+,336,PF10559,Plug domain of Sec61p||eubacterial secY protein,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,0,5,0,0,0,0,2,0,0,0,0,0,0,2,0,1,3,0,0
contig_660608_1_751_+,250.3333333,PF10559,Plug domain of Sec61p||eubacterial secY protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
contig_1832242_1_562_+,187.3333333,PF13499,EF-hand domain pair,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0
contig_1617030_440_2131_-,564,PF13583,PF13583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_719084_1_980_-,326.6666667,PF13646,PF13646||Armadillo/beta-catenin-like repeat||Proteasome non-ATPase 26S subunit||HEAT repeat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,1,0,0
contig_46401_1_808_+,269.3333333,PF13864,PF13864,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,1,4,4,0,0,4,0,0,2,0,1,0,0,1,0,0
contig_1676676_51_363_+,104.3333333,PF00006,"ATP synthase alpha/beta family, nucleotide-binding domain||ATP synthase alpha/beta chain, C terminal domain",0,0,2,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,6,1,2,3,1,0,1,0,1,0,0,0,0,1,0,0,0
contig_1649115_1_429_-,143,PF00016,"Ribulose bisphosphate carboxylase large chain, catalytic domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0
contig_1957726_1_389_+,129.6666667,PF00016,"Ribulose bisphosphate carboxylase large chain, catalytic domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
contig_1965389_1_497_-,165.6666667,PF00016,"Ribulose bisphosphate carboxylase large chain, catalytic domain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
contig_1968773_1_1005_-,335,PF00016,"Ribulose bisphosphate carboxylase large chain, catalytic domain||Ribulose bisphosphate carboxylase large chain, N-terminal domain",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0
contig_1405023_1_1140_+,380,PF00016,"Ribulose bisphosphate carboxylase large chain, catalytic domain||Ribulose bisphosphate carboxylase large chain, N-terminal domain",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,3,0,1,0,0,0,0,0,3,0,0,0
contig_2029270_1_1021_+,340.3333333,PF00022,Actin,4,2,9,9,11,3,4,8,4,0,1,9,3,6,1,6,6,5,1,0,5,3,5,8,12,11,8,4,8,15,7,7,10,0,5,5,7,8,7,6
contig_2090588_1_262_-,87.33333333,PF00022,Actin,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0
contig_380632_1_603_+,201,PF00022,Actin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
contig_1651240_422_895_-,158,PF00025,ADP-ribosylation factor family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1662750_144_725_-,194,PF00025,ADP-ribosylation factor family,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1841543_465_986_-,174,PF00025,ADP-ribosylation factor family,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
contig_1997204_1_200_+,66.66666667,PF00036,EF hand||EF-hand domain pair||EF hand,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,2,3,2,0,0,1,1,0,2,0,0,0,0,0,2,0
contig_103685_145_645_-,167,PF00036,EF hand||EF-hand domain pair||EF hand||EF-hand domain pair||EF hand,0,0,2,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,2,1,1,1,0,1,1,1,2,2,0
contig_2131260_450_941_-,164,PF00036,EF hand||EF-hand domain pair||EF hand||EF-hand domain pair||EF hand,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,1,2,0
contig_447194_1_623_+,207.6666667,PF00042,Globin,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
